N      r
12 0.000801998
9 0.000802994
14 0.00080399
7 0.000804984
8 0.000805978
9 0.00080697
10 0.00080796
7 0.00080895
7 0.000809938
9 0.000810925
6 0.000811911
9 0.000812896
12 0.00081388
12 0.000814862
8 0.000815843
12 0.000816823
9 0.000817802
13 0.00081878
7 0.000819756
13 0.000820731
13 0.000821706
10 0.000822679
9 0.00082365
9 0.000824621
8 0.000825591
6 0.000826559
17 0.000827526
10 0.000828493
13 0.000829458
6 0.000830422
9 0.000831384
7 0.000832346
8 0.000833307
9 0.000834266
8 0.000835225
8 0.000836182
3 0.000837138
5 0.000838093
9 0.000839047
13 0.00084
6 0.000840952
5 0.000841903
14 0.000842852
6 0.000843801
15 0.000844748
6 0.000845695
12 0.00084664
11 0.000847585
5 0.000848528
6 0.00084947
8 0.000850412
9 0.000851352
9 0.000852291
8 0.000853229
2 0.000854166
6 0.000855102
19 0.000856037
5 0.000856971
6 0.000857904
9 0.000858836
4 0.000859767
5 0.000860697
9 0.000861626
10 0.000862554
7 0.000863481
6 0.000864407
12 0.000865332
10 0.000866256
5 0.000867179
13 0.000868101
9 0.000869022
5 0.000869943
11 0.000870862
11 0.00087178
8 0.000872697
8 0.000873613
8 0.000874528
4 0.000875443
9 0.000876356
12 0.000877268
9 0.00087818
8 0.00087909
5 0.00088
9 0.000880909
9 0.000881816
6 0.000882723
8 0.000883629
7 0.000884534
8 0.000885438
7 0.000886341
6 0.000887243
7 0.000888144
9 0.000889044
3 0.000889944
10 0.000890842
8 0.00089174
4 0.000892637
5 0.000893532
4 0.000894427
11 0.000895321
9 0.000896214
6 0.000897106
4 0.000897998
11 0.000898888
6 0.000899778
3 0.000900666
8 0.000901554
8 0.000902441
7 0.000903327
2 0.000904212
3 0.000905097
6 0.00090598
7 0.000906863
6 0.000907744
7 0.000908625
9 0.000909505
12 0.000910385
9 0.000911263
6 0.00091214
4 0.000913017
3 0.000913893
3 0.000914768
3 0.000915642
8 0.000916515
6 0.000917388
6 0.000918259
10 0.00091913
10 0.00092
4 0.000920869
8 0.000921737
11 0.000922605
10 0.000923472
7 0.000924338
4 0.000925203
7 0.000926067
6 0.00092693
6 0.000927793
8 0.000928655
5 0.000929516
5 0.000930376
6 0.000931236
3 0.000932094
6 0.000932952
8 0.000933809
10 0.000934666
7 0.000935521
5 0.000936376
6 0.00093723
8 0.000938083
11 0.000938936
6 0.000939787
10 0.000940638
9 0.000941488
5 0.000942338
4 0.000943186
6 0.000944034
4 0.000944881
8 0.000945727
8 0.000946573
3 0.000947418
6 0.000948262
7 0.000949105
10 0.000949947
2 0.000950789
6 0.00095163
5 0.00095247
